Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C1,1206,67.3100,-60.9600,T,180.0000
C2,1206,85.3440,-70.4850,T,45.0000
C3,1206,78.4860,-63.6270,T,45.0000
C4,1206,58.4200,-67.5640,T,0.0000
C5,1206,78.4860,-92.4560,T,90.0000
C6,1206,41.9100,-59.6900,T,180.0000
C7,1206,41.9100,-64.2620,T,180.0000
C8,1206,67.3100,-58.6740,T,0.0000
C9,1206,53.2130,-87.1855,T,90.0000
C10,1206,67.3100,-56.3880,T,0.0000
C11,1206,65.2780,-84.9630,T,315.0000
C12,1206,67.3100,-63.2460,T,0.0000
C13,1206,58.4200,-70.3580,T,180.0000
C14,1206,77.8510,-85.4710,T,45.0000
R1,1206,82.5500,-104.3940,T,270.0000
R2,1206,78.4860,-98.2980,T,90.0000
R11,1206,101.8540,-41.4020,T,0.0000
R12,1206,117.3480,-47.2440,T,0.0000
R13,1206,99.3140,-104.6480,T,180.0000
R14,1206,117.3480,-106.1720,T,180.0000
R15,1206,61.7220,-50.2920,T,90.0000
R16,1206,67.1830,-53.9750,T,180.0000
R17,1206,50.0380,-50.2920,T,270.0000
R18,1206,54.1020,-50.2920,T,270.0000